lambda,average CV_AUC,average CV_treatment_effect,AUC of training data,AUC of test data,
1.021763914,0.4940,-0.0034,0.5170,0.5101,
1.020763914,0.4940,-0.0034,0.5170,0.5101,
1.019763914,0.4940,-0.0034,0.5170,0.5101,
1.018763914,0.4940,-0.0034,0.5170,0.5101,
1.017763914,0.4940,-0.0034,0.5170,0.5101,
1.016763914,0.4940,-0.0034,0.5170,0.5101,
1.015763914,0.4940,-0.0034,0.5170,0.5101,
1.014763914,0.4940,-0.0034,0.5170,0.5101,
1.013763914,0.4940,-0.0034,0.5170,0.5101,
1.012763914,0.4940,-0.0034,0.5170,0.5101,
1.011763914,0.4940,-0.0034,0.5170,0.5101,
1.010763914,0.4940,-0.0034,0.5170,0.5101,
1.009763914,0.4940,-0.0034,0.5170,0.5101,
1.008763914,0.4940,-0.0034,0.5170,0.5101,
1.007763914,0.4940,-0.0034,0.5170,0.5101,
1.006763914,0.4940,-0.0034,0.5170,0.5101,
1.005763914,0.4940,-0.0034,0.5170,0.5101,
1.004763914,0.4940,-0.0034,0.5170,0.5101,
1.003763914,0.4940,-0.0034,0.5170,0.5101,
1.002763914,0.4940,-0.0034,0.5170,0.5101,
1.001763914,0.4940,-0.0034,0.5170,0.5101,
1.000763914,0.4940,-0.0034,0.5170,0.5101,
0.999763914,0.4940,-0.0034,0.5170,0.5101,
0.998763914,0.4940,-0.0034,0.5170,0.5101,
0.997763914,0.4940,-0.0034,0.5170,0.5101,
0.996763914,0.4940,-0.0034,0.5170,0.5101,
0.995763914,0.4940,-0.0034,0.5170,0.5101,
0.994763914,0.4940,-0.0034,0.5170,0.5101,
0.993763914,0.4940,-0.0034,0.5170,0.5101,
0.992763914,0.4940,-0.0034,0.5170,0.5101,
0.991763914,0.4940,-0.0034,0.5170,0.5101,
0.990763914,0.4940,-0.0034,0.5170,0.5101,
0.989763914,0.4940,-0.0034,0.5170,0.5101,
0.988763914,0.4940,-0.0034,0.5170,0.5101,
0.987763914,0.4940,-0.0034,0.5170,0.5101,
0.986763914,0.4940,-0.0034,0.5170,0.5101,
0.985763914,0.4940,-0.0034,0.5170,0.5101,
0.984763914,0.4940,-0.0034,0.5170,0.5101,
0.983763914,0.4940,-0.0034,0.5170,0.5101,
0.982763914,0.4940,-0.0034,0.5170,0.5101,
0.981763914,0.4940,-0.0034,0.5170,0.5101,
0.980763914,0.4940,-0.0034,0.5170,0.5101,
0.979763914,0.4940,-0.0034,0.5170,0.5101,
0.978763914,0.4940,-0.0034,0.5170,0.5101,
0.977763914,0.4940,-0.0034,0.5170,0.5101,
0.976763914,0.4940,-0.0034,0.5170,0.5101,
0.975763914,0.4940,-0.0034,0.5170,0.5101,
0.974763914,0.4940,-0.0034,0.5170,0.5101,
0.973763914,0.4940,-0.0034,0.5170,0.5101,
0.972763914,0.4940,-0.0034,0.5170,0.5101,
0.971763914,0.4940,-0.0034,0.5170,0.5101,
0.970763914,0.4940,-0.0034,0.5170,0.5101,
0.969763914,0.4940,-0.0034,0.5170,0.5101,
0.968763914,0.4940,-0.0034,0.5170,0.5101,
0.967763914,0.4940,-0.0034,0.5170,0.5101,
0.966763914,0.4940,-0.0034,0.5170,0.5101,
0.965763914,0.4940,-0.0034,0.5170,0.5101,
0.964763914,0.4940,-0.0034,0.5170,0.5101,
0.963763914,0.4940,-0.0034,0.5170,0.5101,
0.962763914,0.4940,-0.0034,0.5170,0.5101,
0.961763914,0.4940,-0.0034,0.5170,0.5101,
0.960763914,0.4940,-0.0034,0.5170,0.5101,
0.959763914,0.4940,-0.0034,0.5170,0.5101,
0.958763914,0.4940,-0.0034,0.5170,0.5101,
0.957763914,0.4940,-0.0034,0.5170,0.5101,
0.956763914,0.4940,-0.0034,0.5170,0.5101,
0.955763914,0.4940,-0.0034,0.5170,0.5101,
0.954763914,0.4940,-0.0034,0.5170,0.5101,
0.953763914,0.4940,-0.0034,0.5170,0.5101,
0.952763914,0.4940,-0.0034,0.5170,0.5101,
0.951763914,0.4940,-0.0034,0.5170,0.5101,
0.950763914,0.4940,-0.0034,0.5170,0.5101,
0.949763914,0.4940,-0.0034,0.5170,0.5101,
0.948763914,0.4940,-0.0034,0.5170,0.5101,
0.947763914,0.4940,-0.0034,0.5170,0.5101,
0.946763914,0.4940,-0.0034,0.5170,0.5101,
0.945763914,0.4940,-0.0034,0.5170,0.5101,
0.944763914,0.4940,-0.0034,0.5170,0.5101,
0.943763914,0.4940,-0.0034,0.5170,0.5101,
0.942763914,0.4940,-0.0034,0.5170,0.5101,
0.941763914,0.4940,-0.0034,0.5170,0.5101,
0.940763914,0.4940,-0.0034,0.5170,0.5101,
0.939763914,0.4940,-0.0034,0.5170,0.5101,
0.938763914,0.4940,-0.0034,0.5170,0.5101,
0.937763914,0.4940,-0.0034,0.5170,0.5101,
0.936763914,0.4940,-0.0034,0.5170,0.5101,
0.935763914,0.4940,-0.0034,0.5170,0.5101,
0.934763914,0.4940,-0.0034,0.5170,0.5101,
0.933763914,0.4940,-0.0034,0.5170,0.5101,
0.932763914,0.4940,-0.0034,0.5170,0.5101,
0.931763914,0.4940,-0.0034,0.5170,0.5101,
0.930763914,0.4940,-0.0034,0.5170,0.5101,
0.929763914,0.4940,-0.0034,0.5170,0.5101,
0.928763914,0.4940,-0.0034,0.5170,0.5101,
0.927763914,0.4940,-0.0034,0.5170,0.5101,
0.926763914,0.4940,-0.0034,0.5170,0.5101,
0.925763914,0.4940,-0.0034,0.5170,0.5101,
0.924763914,0.4940,-0.0034,0.5170,0.5101,
0.923763914,0.4940,-0.0034,0.5170,0.5101,
0.922763914,0.4940,-0.0034,0.5170,0.5101,
0.921763914,0.4940,-0.0034,0.5170,0.5101,
0.920763914,0.4940,-0.0034,0.5170,0.5101,
0.919763914,0.4940,-0.0034,0.5170,0.5101,
0.918763914,0.4940,-0.0034,0.5170,0.5101,
0.917763914,0.4940,-0.0034,0.5170,0.5101,
0.916763914,0.4940,-0.0034,0.5170,0.5101,
0.915763914,0.4940,-0.0034,0.5170,0.5101,
0.914763914,0.4940,-0.0034,0.5170,0.5101,
0.913763914,0.4940,-0.0034,0.5170,0.5101,
0.912763914,0.4940,-0.0034,0.5170,0.5101,
0.911763914,0.4940,-0.0034,0.5170,0.5101,
0.910763914,0.4940,-0.0034,0.5170,0.5101,
0.909763914,0.4940,-0.0034,0.5170,0.5101,
0.908763914,0.4940,-0.0034,0.5170,0.5101,
0.907763914,0.4940,-0.0034,0.5170,0.5101,
0.906763914,0.4940,-0.0034,0.5170,0.5101,
0.905763914,0.4940,-0.0034,0.5170,0.5101,
0.904763914,0.4940,-0.0034,0.5170,0.5101,
0.903763914,0.4940,-0.0034,0.5170,0.5101,
0.902763914,0.4940,-0.0034,0.5170,0.5101,
0.901763914,0.4940,-0.0034,0.5170,0.5101,
0.900763914,0.4940,-0.0034,0.5170,0.5101,
0.899763914,0.4940,-0.0034,0.5170,0.5101,
0.898763914,0.4940,-0.0034,0.5170,0.5101,
0.897763914,0.4940,-0.0034,0.5170,0.5101,
0.896763914,0.4940,-0.0034,0.5170,0.5101,
0.895763914,0.4940,-0.0034,0.5170,0.5101,
0.894763914,0.4940,-0.0034,0.5170,0.5101,
0.893763914,0.4940,-0.0034,0.5170,0.5101,
0.892763914,0.4940,-0.0034,0.5170,0.5101,
0.891763914,0.4940,-0.0034,0.5170,0.5101,
0.890763914,0.4940,-0.0034,0.5170,0.5101,
0.889763914,0.4940,-0.0034,0.5170,0.5101,
0.888763914,0.4940,-0.0034,0.5170,0.5101,
0.887763914,0.4940,-0.0034,0.5170,0.5101,
0.886763914,0.4940,-0.0034,0.5170,0.5101,
0.885763914,0.4940,-0.0034,0.5170,0.5101,
0.884763914,0.4940,-0.0034,0.5170,0.5101,
0.883763914,0.4940,-0.0034,0.5170,0.5101,
0.882763914,0.4940,-0.0034,0.5170,0.5101,
0.881763914,0.4940,-0.0034,0.5170,0.5101,
0.880763914,0.4940,-0.0034,0.5170,0.5101,
0.879763914,0.4940,-0.0034,0.5170,0.5101,
0.878763914,0.4940,-0.0034,0.5170,0.5101,
0.877763914,0.4940,-0.0034,0.5170,0.5101,
0.876763914,0.4940,-0.0034,0.5170,0.5101,
0.875763914,0.4940,-0.0034,0.5170,0.5101,
0.874763914,0.4940,-0.0034,0.5170,0.5101,
0.873763914,0.4940,-0.0034,0.5170,0.5101,
0.872763914,0.4940,-0.0034,0.5170,0.5101,
0.871763914,0.4940,-0.0034,0.5170,0.5101,
0.870763914,0.4940,-0.0034,0.5170,0.5101,
0.869763914,0.4940,-0.0034,0.5170,0.5101,
0.868763914,0.4940,-0.0034,0.5170,0.5101,
0.867763914,0.4940,-0.0034,0.5170,0.5101,
0.866763914,0.4940,-0.0034,0.5170,0.5101,
0.865763914,0.4940,-0.0034,0.5170,0.5101,
0.864763914,0.4940,-0.0034,0.5170,0.5101,
0.863763914,0.4940,-0.0034,0.5170,0.5101,
0.862763914,0.4940,-0.0034,0.5170,0.5101,
0.861763914,0.4940,-0.0034,0.5170,0.5101,
0.860763914,0.4940,-0.0034,0.5170,0.5101,
0.859763914,0.4940,-0.0034,0.5170,0.5101,
0.858763914,0.4940,-0.0034,0.5170,0.5101,
0.857763914,0.4940,-0.0034,0.5170,0.5101,
0.856763914,0.4940,-0.0034,0.5170,0.5101,
0.855763914,0.4940,-0.0034,0.5170,0.5101,
0.854763914,0.4940,-0.0034,0.5170,0.5101,
0.853763914,0.4940,-0.0034,0.5170,0.5101,
0.852763914,0.4940,-0.0034,0.5170,0.5101,
0.851763914,0.4940,-0.0034,0.5170,0.5101,
0.850763914,0.4940,-0.0034,0.5170,0.5101,
0.849763914,0.4940,-0.0034,0.5170,0.5101,
0.848763914,0.4940,-0.0034,0.5170,0.5101,
0.847763914,0.4940,-0.0034,0.5170,0.5101,
0.846763914,0.4940,-0.0034,0.5170,0.5101,
0.845763914,0.4940,-0.0034,0.5170,0.5101,
0.844763914,0.4940,-0.0034,0.5170,0.5101,
0.843763914,0.4940,-0.0034,0.5170,0.5101,
0.842763914,0.4940,-0.0034,0.5170,0.5101,
0.841763914,0.4940,-0.0034,0.5170,0.5101,
0.840763914,0.4940,-0.0034,0.5170,0.5101,
0.839763914,0.4940,-0.0034,0.5170,0.5101,
0.838763914,0.4940,-0.0034,0.5170,0.5101,
0.837763914,0.4940,-0.0034,0.5170,0.5101,
0.836763914,0.4940,-0.0034,0.5170,0.5101,
0.835763914,0.4940,-0.0034,0.5170,0.5101,
0.834763914,0.4940,-0.0034,0.5170,0.5101,
0.833763914,0.4940,-0.0034,0.5170,0.5101,
0.832763914,0.4940,-0.0034,0.5170,0.5101,
0.831763914,0.4940,-0.0034,0.5170,0.5101,
0.830763914,0.4940,-0.0034,0.5170,0.5101,
0.829763914,0.4940,-0.0034,0.5170,0.5101,
0.828763914,0.4940,-0.0034,0.5170,0.5101,
0.827763914,0.4940,-0.0034,0.5170,0.5101,
0.826763914,0.4940,-0.0034,0.5170,0.5101,
0.825763914,0.4940,-0.0034,0.5170,0.5101,
0.824763914,0.4940,-0.0034,0.5170,0.5101,
0.823763914,0.4940,-0.0034,0.5170,0.5101,
0.822763914,0.4940,-0.0034,0.5170,0.5101,
0.821763914,0.4940,-0.0034,0.5170,0.5101,
0.820763914,0.4940,-0.0034,0.5170,0.5101,
0.819763914,0.4940,-0.0034,0.5170,0.5101,
0.818763914,0.4940,-0.0034,0.5170,0.5101,
0.817763914,0.4940,-0.0034,0.5170,0.5101,
0.816763914,0.4940,-0.0034,0.5170,0.5101,
0.815763914,0.4940,-0.0034,0.5170,0.5101,
0.814763914,0.4940,-0.0034,0.5170,0.5101,
0.813763914,0.4940,-0.0034,0.5170,0.5101,
0.812763914,0.4940,-0.0034,0.5170,0.5101,
0.811763914,0.4940,-0.0034,0.5170,0.5101,
0.810763914,0.4940,-0.0034,0.5170,0.5101,
0.809763914,0.4940,-0.0034,0.5170,0.5101,
0.808763914,0.4940,-0.0034,0.5170,0.5101,
0.807763914,0.4940,-0.0034,0.5170,0.5101,
0.806763914,0.4940,-0.0034,0.5170,0.5101,
0.805763914,0.4940,-0.0034,0.5170,0.5101,
0.804763914,0.4940,-0.0034,0.5170,0.5101,
0.803763914,0.4940,-0.0034,0.5170,0.5101,
0.802763914,0.4940,-0.0034,0.5170,0.5101,
0.801763914,0.4940,-0.0034,0.5170,0.5101,
0.800763914,0.4940,-0.0034,0.5170,0.5101,
0.799763914,0.4940,-0.0034,0.5170,0.5101,
0.798763914,0.4940,-0.0034,0.5170,0.5101,
0.797763914,0.4940,-0.0034,0.5170,0.5101,
0.796763914,0.4940,-0.0034,0.5170,0.5101,
0.795763914,0.4940,-0.0034,0.5170,0.5101,
0.794763914,0.5050,0.0029,0.5170,0.5101,
0.793763914,0.5172,-0.0176,0.5170,0.5101,optimum lambda of AUC
0.792763914,0.5172,-0.0176,0.5170,0.5101,
0.791763914,0.5172,-0.0176,0.5170,0.5101,
0.790763914,0.5172,-0.0176,0.5170,0.5101,
0.789763914,0.5172,-0.0176,0.5170,0.5101,
0.788763914,0.5172,-0.0176,0.5170,0.5101,
0.787763914,0.5172,-0.0176,0.5170,0.5101,
0.786763914,0.5172,-0.0176,0.5170,0.5101,
0.785763914,0.5172,-0.0176,0.5170,0.5101,
0.784763914,0.5172,-0.0176,0.5170,0.5101,
0.783763914,0.5172,-0.0176,0.5170,0.5101,
0.782763914,0.5172,-0.0176,0.5170,0.5101,
0.781763914,0.5172,-0.0176,0.5170,0.5101,
0.780763914,0.5172,-0.0176,0.5170,0.5101,
0.779763914,0.5172,-0.0176,0.5170,0.5101,
0.778763914,0.5172,-0.0176,0.5170,0.5101,
0.777763914,0.5172,-0.0176,0.5170,0.5101,
0.776763914,0.5172,-0.0176,0.5170,0.5101,
0.775763914,0.5172,-0.0176,0.5170,0.5101,
0.774763914,0.5172,-0.0176,0.5170,0.5101,
0.773763914,0.5172,-0.0176,0.5170,0.5101,
0.772763914,0.5172,-0.0176,0.5170,0.5101,
0.771763914,0.5172,-0.0176,0.5170,0.5101,
0.770763914,0.5172,-0.0176,0.5170,0.5101,
0.769763914,0.5172,-0.0176,0.5170,0.5101,
0.768763914,0.5172,-0.0176,0.5170,0.5101,
0.767763914,0.5172,-0.0176,0.5170,0.5101,
0.766763914,0.5172,-0.0176,0.5170,0.5101,
0.765763914,0.5172,-0.0176,0.5170,0.5101,
0.764763914,0.5172,-0.0176,0.5170,0.5101,
0.763763914,0.5172,-0.0176,0.5170,0.5101,
0.762763914,0.5172,-0.0176,0.5170,0.5101,
0.761763914,0.5172,-0.0176,0.5170,0.5101,
0.760763914,0.5172,-0.0176,0.5170,0.5101,
0.759763914,0.5172,-0.0176,0.5170,0.5101,
0.758763914,0.5172,-0.0176,0.5170,0.5101,
0.757763914,0.5172,-0.0176,0.5170,0.5101,
0.756763914,0.5172,-0.0176,0.5170,0.5101,
0.755763914,0.5172,-0.0176,0.5170,0.5101,
0.754763914,0.5172,-0.0176,0.5170,0.5101,
0.753763914,0.5172,-0.0176,0.5170,0.5101,
0.752763914,0.5172,-0.0176,0.5170,0.5101,
0.751763914,0.5172,-0.0176,0.5170,0.5101,
0.750763914,0.5172,-0.0176,0.5170,0.5101,
0.749763914,0.5172,-0.0176,0.5170,0.5101,
0.748763914,0.5172,-0.0176,0.5170,0.5101,
0.747763914,0.5172,-0.0176,0.5170,0.5101,
0.746763914,0.5172,-0.0176,0.5170,0.5101,
0.745763914,0.5172,-0.0176,0.5170,0.5101,
0.744763914,0.5172,-0.0176,0.5170,0.5101,
0.743763914,0.5172,-0.0176,0.5170,0.5101,
0.742763914,0.5172,-0.0176,0.5170,0.5101,
0.741763914,0.5172,-0.0176,0.5170,0.5101,
0.740763914,0.5172,-0.0176,0.5170,0.5101,
0.739763914,0.5172,-0.0176,0.5170,0.5101,
0.738763914,0.5172,-0.0176,0.5170,0.5101,
0.737763914,0.5172,-0.0176,0.5170,0.5101,
0.736763914,0.5172,-0.0176,0.5170,0.5101,
0.735763914,0.5172,-0.0176,0.5170,0.5101,
0.734763914,0.5172,-0.0176,0.5170,0.5101,
0.733763914,0.5172,-0.0176,0.5170,0.5101,
0.732763914,0.5172,-0.0176,0.5170,0.5101,
0.731763914,0.5172,-0.0176,0.5170,0.5101,
0.730763914,0.5172,-0.0176,0.5170,0.5101,
0.729763914,0.5172,-0.0176,0.5170,0.5101,
0.728763914,0.5172,-0.0176,0.5170,0.5101,
0.727763914,0.5172,-0.0176,0.5170,0.5101,
0.726763914,0.5172,-0.0176,0.5170,0.5101,
0.725763914,0.5172,-0.0176,0.5170,0.5101,
0.724763914,0.5172,-0.0176,0.5170,0.5101,
0.723763914,0.5172,-0.0176,0.5170,0.5101,
0.722763914,0.5172,-0.0176,0.5170,0.5101,
0.721763914,0.5172,-0.0176,0.5170,0.5101,
0.720763914,0.5172,-0.0176,0.5170,0.5101,
0.719763914,0.5172,-0.0176,0.5170,0.5101,
0.718763914,0.5172,-0.0176,0.5170,0.5101,
0.717763914,0.5172,-0.0176,0.5170,0.5101,
0.716763914,0.5172,-0.0176,0.5170,0.5101,
0.715763914,0.5172,-0.0176,0.5170,0.5101,
0.714763914,0.5172,-0.0176,0.5170,0.5101,
0.713763914,0.5172,-0.0176,0.5170,0.5101,
0.712763914,0.5172,-0.0176,0.5170,0.5101,
0.711763914,0.5172,-0.0176,0.5170,0.5101,
0.710763914,0.5172,-0.0176,0.5170,0.5101,
0.709763914,0.5172,-0.0176,0.5170,0.5101,
0.708763914,0.5172,-0.0176,0.5170,0.5101,
0.707763914,0.5172,-0.0176,0.5170,0.5101,
0.706763914,0.5172,-0.0176,0.5170,0.5101,
0.705763914,0.5172,-0.0176,0.5170,0.5101,
0.704763914,0.5172,-0.0176,0.5170,0.5101,
0.703763914,0.5172,-0.0176,0.5170,0.5101,
0.702763914,0.5172,-0.0176,0.5170,0.5101,
0.701763914,0.5172,-0.0176,0.5170,0.5101,
0.700763914,0.5172,-0.0176,0.5170,0.5101,
0.699763914,0.5172,-0.0176,0.5170,0.5101,
0.698763914,0.5172,-0.0176,0.5170,0.5101,
0.697763914,0.5172,-0.0176,0.5170,0.5101,
0.696763914,0.5172,-0.0176,0.5170,0.5101,
0.695763914,0.5172,-0.0176,0.5170,0.5101,
0.694763914,0.5172,-0.0176,0.5170,0.5101,
0.693763914,0.5172,-0.0176,0.5170,0.5101,
0.692763914,0.5172,-0.0176,0.5170,0.5101,
0.691763914,0.5172,-0.0176,0.5170,0.5101,
0.690763914,0.5172,-0.0176,0.5170,0.5101,
0.689763914,0.5172,-0.0176,0.5170,0.5101,
0.688763914,0.5172,-0.0176,0.5170,0.5101,
0.687763914,0.5172,-0.0176,0.5170,0.5101,
0.686763914,0.5172,-0.0176,0.5170,0.5101,
0.685763914,0.5172,-0.0176,0.5170,0.5101,
0.684763914,0.5172,-0.0176,0.5170,0.5101,
0.683763914,0.5172,-0.0176,0.5170,0.5101,
0.682763914,0.5172,-0.0176,0.5170,0.5101,
0.681763914,0.5172,-0.0176,0.5170,0.5101,
0.680763914,0.5172,-0.0176,0.5170,0.5101,
0.679763914,0.5172,-0.0176,0.5170,0.5101,
0.678763914,0.5172,-0.0176,0.5170,0.5101,
0.677763914,0.5172,-0.0176,0.5170,0.5101,
0.676763914,0.5172,-0.0176,0.5170,0.5101,
0.675763914,0.5172,-0.0176,0.5170,0.5101,
0.674763914,0.5172,-0.0176,0.5170,0.5101,
0.673763914,0.5172,-0.0176,0.5170,0.5101,
0.672763914,0.5172,-0.0176,0.5170,0.5101,
0.671763914,0.5172,-0.0176,0.5170,0.5101,
0.670763914,0.5172,-0.0176,0.5170,0.5101,
0.669763914,0.5172,-0.0176,0.5170,0.5101,
0.668763914,0.5172,-0.0176,0.5170,0.5101,
0.667763914,0.5172,-0.0176,0.5170,0.5101,
0.666763914,0.5172,-0.0176,0.5170,0.5101,
0.665763914,0.5172,-0.0176,0.5170,0.5101,
0.664763914,0.5172,-0.0176,0.5170,0.5101,
0.663763914,0.5172,-0.0176,0.5170,0.5101,
0.662763914,0.5172,-0.0176,0.5170,0.5101,
0.661763914,0.5172,-0.0176,0.5170,0.5101,
0.660763914,0.5172,-0.0176,0.5170,0.5101,
0.659763914,0.5172,-0.0176,0.5170,0.5101,
0.658763914,0.5172,-0.0176,0.5170,0.5101,
0.657763914,0.5172,-0.0176,0.5170,0.5101,
0.656763914,0.5172,-0.0176,0.5170,0.5101,
0.655763914,0.5172,-0.0176,0.5170,0.5101,
0.654763914,0.5172,-0.0176,0.5170,0.5101,
0.653763914,0.5172,-0.0176,0.5170,0.5101,
0.652763914,0.5172,-0.0176,0.5170,0.5101,
0.651763914,0.5172,-0.0176,0.5170,0.5101,
0.650763914,0.5172,-0.0176,0.5170,0.5101,
0.649763914,0.5172,-0.0176,0.5170,0.5101,
0.648763914,0.5172,-0.0176,0.5170,0.5101,
0.647763914,0.5172,-0.0176,0.5170,0.5101,
0.646763914,0.5172,-0.0176,0.5170,0.5101,
0.645763914,0.5172,-0.0176,0.5170,0.5101,
0.644763914,0.5172,-0.0176,0.5170,0.5101,
0.643763914,0.5172,-0.0176,0.5170,0.5101,
0.642763914,0.5172,-0.0176,0.5170,0.5101,
0.641763914,0.5172,-0.0176,0.5170,0.5101,
0.640763914,0.5172,-0.0176,0.5170,0.5101,
0.639763914,0.5172,-0.0176,0.5170,0.5101,
0.638763914,0.5172,-0.0176,0.5170,0.5101,
0.637763914,0.5172,-0.0176,0.5170,0.5101,
0.636763914,0.5172,-0.0176,0.5170,0.5101,
0.635763914,0.5172,-0.0176,0.5170,0.5101,
0.634763914,0.5172,-0.0176,0.5170,0.5101,
0.633763914,0.5172,-0.0176,0.5170,0.5101,
0.632763914,0.5172,-0.0176,0.5170,0.5101,
0.631763914,0.5172,-0.0176,0.5170,0.5101,
0.630763914,0.5172,-0.0176,0.5170,0.5101,
0.629763914,0.5172,-0.0176,0.5170,0.5101,
0.628763914,0.5172,-0.0176,0.5170,0.5101,
0.627763914,0.5172,-0.0176,0.5170,0.5101,
0.626763914,0.5172,-0.0176,0.5170,0.5101,
0.625763914,0.5172,-0.0176,0.5170,0.5101,
0.624763914,0.5172,-0.0176,0.5170,0.5101,
0.623763914,0.5172,-0.0176,0.5170,0.5101,
0.622763914,0.5172,-0.0176,0.5170,0.5101,
0.621763914,0.5172,-0.0176,0.5170,0.5101,
0.620763914,0.5172,-0.0176,0.5170,0.5101,
0.619763914,0.5172,-0.0176,0.5170,0.5101,
0.618763914,0.5172,-0.0176,0.5170,0.5101,
0.617763914,0.5172,-0.0176,0.5170,0.5101,
0.616763914,0.5172,-0.0176,0.5170,0.5101,
0.615763914,0.5172,-0.0176,0.5170,0.5101,
0.614763914,0.5172,-0.0176,0.5170,0.5101,
0.613763914,0.5172,-0.0176,0.5170,0.5101,
0.612763914,0.5172,-0.0176,0.5170,0.5101,
0.611763914,0.5172,-0.0176,0.5170,0.5101,
0.610763914,0.5172,-0.0176,0.5170,0.5101,
0.609763914,0.5172,-0.0176,0.5170,0.5101,
0.608763914,0.5172,-0.0176,0.5170,0.5101,
0.607763914,0.5172,-0.0176,0.5170,0.5101,
0.606763914,0.5172,-0.0176,0.5170,0.5101,
0.605763914,0.5172,-0.0176,0.5170,0.5101,
0.604763914,0.5172,-0.0176,0.5170,0.5101,
0.603763914,0.5172,-0.0176,0.5170,0.5101,
0.602763914,0.5172,-0.0176,0.5170,0.5101,
0.601763914,0.5172,-0.0176,0.5170,0.5101,
0.600763914,0.5172,-0.0176,0.5170,0.5101,
0.599763914,0.5172,-0.0176,0.5170,0.5101,
0.598763914,0.5172,-0.0176,0.5170,0.5101,
0.597763914,0.5172,-0.0176,0.5170,0.5101,
0.596763914,0.5172,-0.0176,0.5170,0.5101,
0.595763914,0.5172,-0.0176,0.5170,0.5101,
0.594763914,0.5172,-0.0176,0.5170,0.5101,
0.593763914,0.5172,-0.0176,0.5170,0.5101,
0.592763914,0.5172,-0.0176,0.5170,0.5101,
0.591763914,0.5172,-0.0176,0.5170,0.5101,
0.590763914,0.5172,-0.0176,0.5170,0.5101,
0.589763914,0.5172,-0.0176,0.5170,0.5101,
0.588763914,0.5172,-0.0176,0.5170,0.5101,
0.587763914,0.5172,-0.0176,0.5170,0.5101,
0.586763914,0.5172,-0.0176,0.5170,0.5101,
0.585763914,0.5172,-0.0176,0.5170,0.5101,
0.584763914,0.5172,-0.0176,0.5170,0.5101,
0.583763914,0.5172,-0.0176,0.5170,0.5101,
0.582763914,0.5172,-0.0176,0.5170,0.5101,
0.581763914,0.5172,-0.0176,0.5170,0.5101,
0.580763914,0.5172,-0.0176,0.5170,0.5101,
0.579763914,0.5172,-0.0176,0.5170,0.5101,
0.578763914,0.5172,-0.0176,0.5170,0.5101,
0.577763914,0.5172,-0.0176,0.5170,0.5101,
0.576763914,0.5172,-0.0176,0.5170,0.5101,
0.575763914,0.5172,-0.0176,0.5170,0.5101,
0.574763914,0.5172,-0.0176,0.5170,0.5101,
0.573763914,0.5172,-0.0176,0.5170,0.5101,
0.572763914,0.5172,-0.0176,0.5170,0.5101,
0.571763914,0.5172,-0.0176,0.5170,0.5101,
0.570763914,0.5172,-0.0176,0.5170,0.5101,
0.569763914,0.5172,-0.0176,0.5170,0.5101,
0.568763914,0.5172,-0.0176,0.5170,0.5101,
0.567763914,0.5172,-0.0176,0.5170,0.5101,
0.566763914,0.5172,-0.0176,0.5170,0.5101,
0.565763914,0.5172,-0.0176,0.5170,0.5101,
0.564763914,0.5172,-0.0176,0.5170,0.5101,
0.563763914,0.5172,-0.0176,0.5170,0.5101,
0.562763914,0.5172,-0.0176,0.5170,0.5101,
0.561763914,0.5172,-0.0176,0.5170,0.5101,
0.560763914,0.5172,-0.0176,0.5170,0.5101,
0.559763914,0.5172,-0.0176,0.5170,0.5101,
0.558763914,0.5172,-0.0176,0.5170,0.5101,
0.557763914,0.5172,-0.0176,0.5170,0.5101,
0.556763914,0.5172,-0.0176,0.5170,0.5101,
0.555763914,0.5172,-0.0176,0.5170,0.5101,
0.554763914,0.5172,-0.0176,0.5170,0.5101,
0.553763914,0.5172,-0.0176,0.5170,0.5101,
0.552763914,0.5172,-0.0176,0.5170,0.5101,
0.551763914,0.5172,-0.0176,0.5170,0.5101,
0.550763914,0.5172,-0.0176,0.5170,0.5101,
0.549763914,0.5172,-0.0176,0.5170,0.5101,
0.548763914,0.5172,-0.0176,0.5170,0.5101,
0.547763914,0.5172,-0.0176,0.5170,0.5101,
0.546763914,0.5172,-0.0176,0.5170,0.5101,
0.545763914,0.5172,-0.0176,0.5170,0.5101,
0.544763914,0.5172,-0.0176,0.5170,0.5101,
0.543763914,0.5172,-0.0176,0.5170,0.5101,
0.542763914,0.5172,-0.0176,0.5170,0.5101,
0.541763914,0.5172,-0.0176,0.5170,0.5101,
0.540763914,0.5172,-0.0176,0.5170,0.5101,
0.539763914,0.5172,-0.0176,0.5170,0.5101,
0.538763914,0.5172,-0.0176,0.5170,0.5101,
0.537763914,0.5172,-0.0176,0.5170,0.5101,
0.536763914,0.5172,-0.0176,0.5170,0.5101,
0.535763914,0.5172,-0.0176,0.5170,0.5101,
0.534763914,0.5172,-0.0176,0.5170,0.5101,
0.533763914,0.5172,-0.0176,0.5170,0.5101,
0.532763914,0.5172,-0.0176,0.5170,0.5101,
0.531763914,0.5172,-0.0176,0.5170,0.5101,
0.530763914,0.5172,-0.0176,0.5170,0.5101,
0.529763914,0.5172,-0.0176,0.5170,0.5101,
0.528763914,0.5172,-0.0176,0.5170,0.5101,
0.527763914,0.5172,-0.0176,0.5170,0.5101,
0.526763914,0.5172,-0.0176,0.5170,0.5101,
0.525763914,0.5172,-0.0176,0.5170,0.5101,
0.524763914,0.5172,-0.0176,0.5170,0.5101,
